Phi,Theta,FILE
-45,315,16151728862190150321.h5
0,315,12421142593950450491.h5
45,315,6720516495762468186.h5
-45,0,13188726365037421652.h5
0,0,15244356782443397458.h5
45,0,7737035089333968861.h5
-45,45,9528121406552283442.h5
0,45,1931489698763709649.h5
45,45,11532270852593443960.h5
-45,90,10987762082201672346.h5
0,90,18023149783890243380.h5
45,90,17941594944045895201.h5
-45,135,4431739350674413618.h5
0,135,6846509469925882896.h5
45,135,8176776955297420352.h5
-45,180,6003959514414381030.h5
0,180,14768732334294573606.h5
45,180,5777366854136278672.h5
-45,225,861155588997333447.h5
0,225,12277097890656318248.h5
45,225,1430038658067161673.h5
-45,270,3837365437391421973.h5
0,270,5425699342395409110.h5
45,270,18401731357296353090.h5
